Practice,cl001,cl002,cl003,cl004,cl005,cl006,cl007,cl008,cl009,cl014,cl015,cl021,cl022,cl023,cl024,cl025,cl026,cl052,cl076,cl077,cl078,cl079,cl098,cl099,cl100,cl110,cl120,cl140,cl174,cl200
Mowing,0,0.5,0,0,0,0.5,0,0,0,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1
Tilling ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1
Broadcast.Seeding,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0,0,0.5,0.5,1,1,0.5,0.3,0.3,0.3,0.3,0.5
Hydro-seeding,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.7,0.7,0.7,0.7,0.5
Drill.Seeding,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,0
Broadcast.Herbicide,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
Spot Herbicide,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,0,0
Prescribed.Burning,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,0.5,0.5,1,1,1,1,0,0,0,0,0,0
Seed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brush.Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
