"","STATEFP","COUNTYFP","GEOID","cnty_name","state_name","cl001","cl002","cl003","cl004","cl005","cl006","cl007","cl008","cl009","cl010","cl011","cl012","cl013","cl014","cl015","cl021","cl022","cl023","cl024","cl025","cl026","cl031","cl041","cl042","cl043","cl052","cl076","cl077","cl078","cl079","cl090","cl095","cl098","cl099","cl100","cl101","cl110","cl120","cl140","cl174","cl180","cl200","cl201","area_ac","so_reg","ne_reg","me_reg","we_reg","fl_reg","nc1_reg","nc2_reg","reg_des","reg_desc"
"0","31","039","31039","Cuming","Nebraska",150368.482863,6184.568651,301.566942,334.926117,2.44634,1022.347517,0,0,0,14625.107109,2847.761573,0,0,117159.424151,3587.223285,5435.099186,401.866862,157.455306,83.620332,71.388635,452.572808,103.191048,10905.781491,4.003101,1.334367,15.345221,23599.169973,255.308886,3399.299933,0,2556.202383,97.631186,2038.690382,1374.620405,1687.974255,4.892679,0.667184,1287.219366,13073.460683,3488.035338,854.662064,0,0,367783.347622,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"3","31","109","31109","Lancaster","Nebraska",126835.141662,7540.507917,718.111841,3305.227059,10.452542,3432.214319,0,0,0,8548.622186,9305.208275,0,0,122718.397073,7191.126158,11959.041843,14092.917071,7080.373697,4828.40699,4304.223153,2938.276134,66.71835,37988.983701,32.469597,17.79156,11.34212,95297.822406,7996.194248,7010.764218,290.447217,2204.596679,208.161252,11772.008069,541.530607,3568.986936,412.764192,561.768507,1400.640561,19082.560073,979.202984,14955.140547,1684.638338,785.942163,541678.722245,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"5","46","099","46099","Minnehaha","South Dakota",153445.533165,18432.945738,57.82257,3525.17522,0,4964.957213,0,0,0,18614.864439,8944.70679,0,0,129721.599878,14819.479902,13713.289659,5501.817536,4965.624396,2709.209799,5811.168285,976.311855,396.529394,7878.102768,0,0.222395,2.223945,23987.248376,1414.42902,53092.238985,1882.347048,25.797762,4195.917032,2936.496978,2150.110026,3817.846382,279.549887,1226.950457,1394.191121,17750.417018,505.502699,9922.575407,1317.909807,481.484093,520862.597045,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"9","39","063","39063","Hancock","Ohio",89218.001565,468.807606,46.702845,23788.205298,156.565728,358.944723,0,0,1.556762,4889.565477,2196.590477,0,0,135795.193673,665.626738,7987.076073,4334.6912,2146.106925,1565.434886,2987.425319,1212.939603,674.744913,24292.818419,13.788459,2.44634,0.667184,10615.11188,231.29028,523.071864,1.334367,16.457193,531.74525,980.537351,1783.381496,1077.723747,58.267359,575.112177,2779.041672,13308.08688,62.492855,5021.445416,849.102201,323.583998,341541.686199,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"13","39","003","39003","Allen","Ohio",61324.393797,791.72442,1.779156,7368.819363,52.929891,945.621414,0,0,0.444789,2122.755503,2562.651824,0,0,87625.656945,1113.751656,8677.83339,5649.932273,2305.563782,1932.385811,6675.615707,944.954231,441.675477,24123.798599,7.339019,0,2.223945,10095.375933,0.667184,3059.258742,0,13.788459,546.868076,1922.600453,2155.447494,1863.443516,238.18451,241.742822,1703.764265,12560.396571,36.695093,9617.894942,870.229679,782.606246,260380.814977,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"15","55","111","55111","Sauk","Wisconsin",54049.424913,25289.145779,905.812799,6932.926143,753.027777,221.727317,0,22.461845,38.919038,21583.60862,7274.301701,0,0,24420.028073,11522.259045,12356.905604,2822.186205,1658.395787,988.765947,1768.481064,2054.035602,542.197791,218491.254131,5018.109498,875.567147,3089.726789,43181.005698,2165.900036,34840.32237,1165.124786,10784.798883,11625.227699,2522.620814,1476.477086,1508.724288,74.502158,340.263585,2569.768448,21492.426875,1451.568902,3816.067226,1021.680333,252.640152,542968.387954,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"25","39","085","39085","Lake","Ohio",202.378995,26.68734,4.225496,75.836525,46.702845,662.958005,0,3.113523,0,597.796416,2167.012008,0,0,754.584539,53.819469,14467.651803,16324.868273,4525.728075,1867.224222,12001.296798,1469.805251,623.594178,51007.068153,108.083727,0.222395,1217.832282,9731.760926,852.660513,4895.792523,136.995012,93.850479,47.147634,0,0,1181.359584,750.803832,318.913713,471.698735,3093.062706,189.702509,16333.764053,582.006407,946.066203,147834.075147,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"49","26","109","26109","Menominee","Michigan",9905.673425,6283.756598,346.045842,5891.230305,37.584671,1692.64454,0,2.668734,59.379332,15757.984692,6301.770552,0,0,1205.37819,1013.896526,11877.645456,880.015037,757.475667,309.128355,1274.987669,1383.516185,341.820347,138858.67791,7768.907069,15598.305441,3474.914063,5304.776009,327.809493,23314.505013,35.805515,379689.014777,5258.295558,0,0,819.078944,39.586221,3.113523,1387.964075,19932.551852,3320.349885,1440.004388,1089.73305,211.052381,673197.04729,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"50","18","073","18073","Jasper","Indiana",166785.644853,1700.428347,23.129028,2334.697461,930.053799,1065.714444,0,0,0,1951.289343,1634.154786,0,0,89124.151086,971.419176,4124.083608,1775.820083,727.007621,676.301674,765.704264,3189.804314,457.910276,37870.447433,30.245652,0,123.206553,14491.670409,574.222599,3520.72733,102.079076,1389.520836,333.814145,913.819001,2105.853521,548.647231,12.676487,844.876706,1500.718086,13425.288782,600.909939,1851.211818,697.429152,115.64514,359290.324059,1,1,1,1,1,0,1,"North Central Core","North Central Core"
"53","18","151","18151","Steuben","Indiana",34576.340099,3949.948715,9.785358,4099.397819,0.222395,152.785022,0,1.111973,0,2192.587376,10123.175246,0,0,26483.181849,3475.581246,6354.478049,1230.953558,835.758531,627.374885,1521.845564,1399.750983,104.74781,9371.481836,245.523528,19.125927,843.542339,13755.989403,844.876706,20659.337078,533.969195,43428.530777,160.346435,3360.825684,573.333021,304.235676,97.631186,751.69341,976.756644,10026.656033,313.131456,2386.737774,491.491845,94.517663,206378.760094,1,1,1,1,1,0,1,"North Central Core","North Central Core"
